"Date","Price","Open","High","Low","Vol.","Change %"
"09-01-2025","977.70","989.50","1,002.00","975.10","1.24M","-1.14%"
"08-01-2025","988.95","1,010.00","1,011.55","981.00","1.70M","-1.65%"
"07-01-2025","1,005.50","986.95","1,014.80","985.10","2.64M","2.33%"
"06-01-2025","982.60","1,039.00","1,040.50","980.00","3.32M","-5.36%"
"03-01-2025","1,038.25","1,049.65","1,069.90","1,036.00","2.14M","-0.79%"
"02-01-2025","1,046.50","1,048.00","1,055.90","1,035.00","1.42M","0.01%"
"01-01-2025","1,046.40","1,040.70","1,060.00","1,038.95","1.56M","0.55%"
"31-12-2024","1,040.70","1,070.95","1,070.95","1,029.00","2.59M","-3.25%"
"30-12-2024","1,075.65","1,060.00","1,113.70","1,042.00","6.97M","2.05%"
"27-12-2024","1,054.00","1,065.00","1,076.65","1,044.25","2.87M","-0.96%"
"26-12-2024","1,064.25","1,030.25","1,082.20","1,023.00","5.61M","3.22%"
"24-12-2024","1,031.05","1,035.60","1,059.05","1,020.00","2.49M","-0.35%"
"23-12-2024","1,034.65","1,049.70","1,057.95","1,023.60","2.78M","0.03%"
"20-12-2024","1,034.35","1,074.90","1,119.00","1,015.10","14.34M","-3.66%"
"19-12-2024","1,073.65","1,080.00","1,103.55","1,062.55","2.94M","-2.88%"
"18-12-2024","1,105.50","1,145.05","1,150.00","1,102.00","2.65M","-3.30%"
"17-12-2024","1,143.25","1,167.90","1,178.95","1,138.00","2.30M","-2.12%"
"16-12-2024","1,168.05","1,200.95","1,210.50","1,163.65","2.72M","-2.53%"
"13-12-2024","1,198.40","1,220.00","1,252.30","1,179.30","6.89M","-1.61%"
"12-12-2024","1,217.95","1,143.85","1,249.00","1,124.20","10.82M","6.09%"
"11-12-2024","1,148.05","1,171.00","1,189.45","1,143.00","2.67M","-2.43%"
"10-12-2024","1,176.65","1,224.95","1,224.95","1,165.35","3.10M","-3.31%"
"09-12-2024","1,216.95","1,210.65","1,236.00","1,180.00","3.51M","0.52%"
"06-12-2024","1,210.65","1,236.05","1,266.85","1,205.15","3.82M","-1.54%"
"05-12-2024","1,229.60","1,270.00","1,270.60","1,220.00","4.52M","-2.48%"
"04-12-2024","1,260.85","1,320.00","1,330.05","1,251.90","5.11M","-3.96%"
"03-12-2024","1,312.80","1,344.00","1,365.00","1,305.00","7.69M","-1.14%"
"02-12-2024","1,327.95","1,360.55","1,447.70","1,301.90","19.68M","0.31%"
"29-11-2024","1,323.90","1,149.00","1,368.00","1,138.50","23.77M","21.77%"
"28-11-2024","1,087.20","1,020.00","1,087.20","1,014.00","7.84M","10.00%"
"27-11-2024","988.40","890.00","988.40","870.25","11.00M","10.00%"
"26-11-2024","898.55","968.80","968.80","891.85","7.53M","-7.25%"
"25-11-2024","968.80","1,080.20","1,141.00","933.00","28.62M","-7.89%"
"22-11-2024","1,051.80","1,085.00","1,219.00","1,021.00","22.04M","-8.20%"
"21-11-2024","1,145.70","1,160.00","1,212.00","1,132.00","9.52M","-18.90%"
"19-11-2024","1,412.70","1,448.05","1,467.00","1,400.10","972.10K","-3.04%"
"18-11-2024","1,456.95","1,512.45","1,517.75","1,450.00","626.64K","-2.24%"
"14-11-2024","1,490.30","1,480.00","1,519.95","1,473.85","571.47K","1.49%"
"13-11-2024","1,468.45","1,503.00","1,542.55","1,459.55","632.05K","-3.65%"
"12-11-2024","1,524.15","1,550.00","1,573.00","1,511.00","523.18K","-2.13%"
"11-11-2024","1,557.40","1,590.10","1,599.55","1,550.30","430.66K","-2.57%"
"08-11-2024","1,598.55","1,640.05","1,645.00","1,581.40","546.53K","-2.69%"
"07-11-2024","1,642.70","1,725.85","1,725.85","1,635.00","848.21K","-4.56%"
"06-11-2024","1,721.15","1,652.00","1,733.95","1,636.70","966.15K","4.68%"
"05-11-2024","1,644.25","1,600.00","1,655.00","1,594.00","379.96K","2.00%"
"04-11-2024","1,611.95","1,625.00","1,630.00","1,606.30","388.29K","-1.27%"
"01-11-2024","1,632.65","1,620.00","1,639.55","1,614.45","132.41K","2.15%"
"31-10-2024","1,598.30","1,642.10","1,664.00","1,591.95","716.98K","-2.20%"
"30-10-2024","1,634.20","1,615.00","1,653.75","1,596.65","713.38K","-0.06%"
"29-10-2024","1,635.10","1,612.00","1,641.00","1,588.00","540.22K","1.36%"
"28-10-2024","1,613.15","1,644.00","1,661.70","1,588.55","850.38K","-1.88%"
"25-10-2024","1,644.00","1,700.00","1,718.90","1,625.00","707.63K","-2.86%"
"24-10-2024","1,692.40","1,691.00","1,710.85","1,681.00","472.96K","-0.57%"
"23-10-2024","1,702.10","1,684.45","1,725.00","1,627.85","1.50M","1.05%"
"22-10-2024","1,684.45","1,732.00","1,747.40","1,668.25","809.41K","-1.54%"
