"Date","Price","Open","High","Low","Vol.","Change %"
"09-01-2025","1,917.30","1,934.05","1,951.85","1,910.55","6.83M","-0.82%"
"08-01-2025","1,933.15","1,930.00","1,938.60","1,888.75","5.48M","0.12%"
"07-01-2025","1,930.85","1,945.00","1,958.55","1,923.65","4.29M","-0.36%"
"06-01-2025","1,937.85","1,952.00","1,973.00","1,928.00","7.16M","-0.05%"
"03-01-2025","1,938.75","1,952.95","1,952.95","1,922.00","6.22M","-0.98%"
"02-01-2025","1,957.85","1,887.00","1,962.65","1,885.30","7.08M","4.00%"
"01-01-2025","1,882.50","1,874.00","1,892.95","1,874.00","1.84M","0.13%"
"31-12-2024","1,880.00","1,892.30","1,897.00","1,845.05","3.61M","-1.36%"
"30-12-2024","1,906.00","1,915.70","1,916.00","1,886.50","7.79M","-0.56%"
"27-12-2024","1,916.75","1,909.40","1,924.15","1,903.90","3.94M","0.49%"
"26-12-2024","1,907.40","1,909.05","1,919.75","1,902.30","3.62M","-0.09%"
"24-12-2024","1,909.05","1,927.05","1,942.00","1,840.00","2.36M","-0.79%"
"23-12-2024","1,924.30","1,930.05","1,940.00","1,909.00","2.78M","0.11%"
"20-12-2024","1,922.15","1,975.15","1,979.95","1,911.25","11.06M","-1.24%"
"19-12-2024","1,946.20","1,934.00","1,959.75","1,920.00","5.32M","-1.66%"
"18-12-2024","1,979.15","1,966.80","1,984.95","1,961.60","3.06M","0.13%"
"17-12-2024","1,976.60","1,968.00","1,982.00","1,958.00","5.81M","-0.17%"
"16-12-2024","1,980.05","1,995.45","1,999.60","1,977.60","3.12M","-0.98%"
"13-12-2024","1,999.70","1,969.75","2,006.45","1,953.80","5.36M","0.64%"
"12-12-2024","1,987.00","1,975.20","1,998.80","1,970.55","6.46M","0.65%"
"11-12-2024","1,974.15","1,955.00","1,978.00","1,952.00","5.03M","1.31%"
"10-12-2024","1,948.55","1,939.00","1,965.60","1,932.00","6.17M","1.29%"
"09-12-2024","1,923.65","1,924.20","1,930.20","1,897.20","4.27M","0.07%"
"06-12-2024","1,922.40","1,932.80","1,937.95","1,912.40","3.57M","-0.64%"
"05-12-2024","1,934.85","1,900.00","1,949.90","1,888.95","9.05M","2.41%"
"04-12-2024","1,889.25","1,884.00","1,913.95","1,875.00","4.71M","-0.15%"
"03-12-2024","1,892.10","1,887.00","1,899.75","1,871.15","4.72M","0.65%"
"02-12-2024","1,879.80","1,859.00","1,882.80","1,835.20","2.87M","1.18%"
"29-11-2024","1,857.85","1,851.10","1,877.00","1,845.00","5.24M","0.06%"
"28-11-2024","1,856.65","1,914.90","1,914.90","1,851.65","8.47M","-3.53%"
"27-11-2024","1,924.50","1,930.10","1,941.40","1,911.75","4.45M","0.02%"
"26-11-2024","1,924.15","1,904.95","1,938.60","1,897.30","6.85M","1.82%"
"25-11-2024","1,889.70","1,916.00","1,919.30","1,882.00","12.76M","-0.66%"
"22-11-2024","1,902.25","1,854.10","1,914.05","1,834.00","6.30M","3.72%"
"21-11-2024","1,834.05","1,842.00","1,867.00","1,820.60","5.44M","0.51%"
"19-11-2024","1,824.75","1,825.50","1,859.70","1,820.55","4.67M","0.73%"
