"Date","Price","Open","High","Low","Vol.","Change %"
"09-01-2025","1,254.75","1,267.00","1,269.75","1,248.05","12.79M","-0.85%"
"08-01-2025","1,265.50","1,249.00","1,271.05","1,245.35","19.35M","1.99%"
"07-01-2025","1,240.85","1,222.00","1,244.50","1,221.25","10.07M","1.88%"
"06-01-2025","1,218.00","1,253.95","1,262.00","1,215.00","14.82M","-2.65%"
"03-01-2025","1,251.15","1,243.90","1,262.05","1,235.50","15.52M","0.75%"
"02-01-2025","1,241.80","1,221.25","1,244.45","1,220.00","15.49M","1.68%"
"01-01-2025","1,221.25","1,214.85","1,226.30","1,211.60","5.89M","0.48%"
"31-12-2024","1,215.45","1,208.00","1,219.10","1,206.15","6.41M","0.39%"
"30-12-2024","1,210.70","1,216.40","1,223.20","1,208.10","8.82M","-0.85%"
"27-12-2024","1,221.05","1,218.30","1,227.90","1,217.00","7.00M","0.37%"
"26-12-2024","1,216.55","1,224.25","1,227.70","1,214.25","10.02M","-0.51%"
"24-12-2024","1,222.75","1,222.30","1,233.55","1,221.00","6.73M","0.04%"
"23-12-2024","1,222.30","1,215.00","1,227.20","1,213.20","10.05M","1.41%"
"20-12-2024","1,205.30","1,224.00","1,239.50","1,201.50","20.31M","-2.04%"
"19-12-2024","1,230.45","1,239.00","1,244.90","1,229.00","14.24M","-1.82%"
"18-12-2024","1,253.25","1,240.65","1,259.95","1,240.65","12.67M","0.64%"
"17-12-2024","1,245.30","1,261.05","1,263.90","1,242.80","17.46M","-1.81%"
"16-12-2024","1,268.30","1,275.00","1,281.00","1,266.55","9.49M","-0.36%"
"13-12-2024","1,272.85","1,260.00","1,275.20","1,239.60","28.63M","0.79%"
"12-12-2024","1,262.90","1,270.00","1,278.20","1,260.60","20.91M","-1.20%"
"11-12-2024","1,278.20","1,285.00","1,290.00","1,276.05","11.72M","-0.52%"
"10-12-2024","1,284.85","1,289.25","1,294.90","1,280.20","16.04M","-0.80%"
"09-12-2024","1,295.15","1,303.00","1,315.00","1,293.10","14.65M","-1.25%"
"06-12-2024","1,311.55","1,323.90","1,323.90","1,310.00","9.04M","-0.79%"
"05-12-2024","1,322.05","1,314.35","1,329.95","1,306.15","16.86M","1.00%"
"04-12-2024","1,308.95","1,326.00","1,328.40","1,304.05","19.61M","-1.08%"
"03-12-2024","1,323.30","1,317.00","1,326.80","1,307.00","16.87M","1.08%"
"02-12-2024","1,309.15","1,288.00","1,311.35","1,277.05","11.02M","1.31%"
"29-11-2024","1,292.20","1,280.00","1,299.50","1,275.25","13.20M","1.68%"
"28-11-2024","1,270.80","1,289.95","1,296.60","1,269.05","15.03M","-1.73%"
"27-11-2024","1,293.20","1,293.50","1,303.85","1,286.00","9.57M","-0.19%"
"26-11-2024","1,295.70","1,294.95","1,297.85","1,284.20","9.25M","0.68%"
"25-11-2024","1,287.00","1,290.00","1,304.45","1,282.45","28.92M","1.71%"
"22-11-2024","1,265.40","1,229.40","1,268.85","1,222.45","20.47M","3.47%"
"21-11-2024","1,223.00","1,241.65","1,243.95","1,217.25","19.43M","-1.50%"
"19-11-2024","1,241.65","1,260.75","1,281.50","1,235.15","14.18M","-1.51%"
"18-11-2024","1,260.75","1,267.60","1,272.90","1,243.90","13.62M","-0.54%"
"14-11-2024","1,267.60","1,253.60","1,272.60","1,251.10","12.61M","1.24%"
"13-11-2024","1,252.05","1,270.25","1,275.45","1,249.50","14.63M","-1.74%"
"12-11-2024","1,274.25","1,275.55","1,289.30","1,267.50","10.67M","0.12%"
"11-11-2024","1,272.70","1,278.95","1,286.00","1,267.00","9.06M","-0.86%"
"08-11-2024","1,283.75","1,297.65","1,301.65","1,275.00","19.81M","-1.68%"
"07-11-2024","1,305.65","1,324.00","1,324.00","1,302.60","9.61M","-1.49%"
"06-11-2024","1,325.35","1,310.00","1,328.30","1,300.20","21.63M","1.54%"
"05-11-2024","1,305.30","1,293.00","1,309.55","1,286.15","16.27M","0.24%"
"04-11-2024","1,302.15","1,337.85","1,340.00","1,285.10","19.80M","-2.73%"
"01-11-2024","1,338.65","1,333.05","1,341.95","1,333.00","2.13M","0.50%"
"31-10-2024","1,332.05","1,340.00","1,343.00","1,326.15","9.33M","-0.88%"
"30-10-2024","1,343.90","1,335.00","1,350.00","1,325.35","11.98M","0.29%"
"29-10-2024","1,340.00","1,328.10","1,343.20","1,320.30","12.01M","0.42%"
"28-10-2024","1,334.35","1,337.00","1,353.00","1,322.10","10.82M","0.49%"
"25-10-2024","1,327.85","1,343.50","1,344.35","1,322.00","18.60M","-0.89%"
"24-10-2024","1,339.80","1,335.28","1,343.70","1,323.13","22.16M","0.10%"
"23-10-2024","1,338.53","1,337.50","1,357.47","1,335.00","17.21M","-0.36%"
"22-10-2024","1,343.35","1,369.20","1,376.00","1,340.22","15.83M","-1.89%"
"21-10-2024","1,369.20","1,367.13","1,374.00","1,357.72","14.07M","0.73%"
"18-10-2024","1,359.30","1,352.18","1,368.43","1,341.32","12.08M","0.21%"
"17-10-2024","1,356.43","1,365.70","1,368.45","1,352.05","15.54M","0.17%"
"16-10-2024","1,354.07","1,340.00","1,364.00","1,337.63","20.03M","0.75%"
"15-10-2024","1,344.03","1,358.53","1,371.70","1,340.70","33.76M","-2.08%"
"14-10-2024","1,372.53","1,379.45","1,380.07","1,368.25","12.22M","0.03%"
"11-10-2024","1,372.10","1,370.00","1,383.28","1,368.82","7.98M","0.08%"
"10-10-2024","1,371.05","1,380.03","1,386.00","1,369.43","22.36M","-0.26%"
"09-10-2024","1,374.60","1,397.53","1,400.97","1,372.50","14.31M","-1.63%"
"08-10-2024","1,397.35","1,372.97","1,401.00","1,365.10","17.02M","1.94%"
"07-10-2024","1,370.72","1,393.50","1,396.50","1,361.38","22.18M","-1.14%"
"04-10-2024","1,386.53","1,403.93","1,417.35","1,381.78","37.07M","-1.45%"
"03-10-2024","1,406.97","1,436.57","1,449.40","1,402.07","37.76M","-3.95%"
"01-10-2024","1,464.82","1,480.65","1,487.95","1,462.82","16.43M","-0.80%"
"30-09-2024","1,476.57","1,519.40","1,524.97","1,474.40","27.01M","-3.25%"
"27-09-2024","1,526.18","1,499.00","1,533.47","1,492.00","20.60M","1.88%"
"26-09-2024","1,497.95","1,490.65","1,504.00","1,488.05","18.82M","0.27%"
"25-09-2024","1,493.95","1,483.90","1,496.50","1,480.20","7.07M","0.31%"
"24-09-2024","1,489.38","1,488.50","1,500.50","1,487.88","17.14M","-0.27%"
"23-09-2024","1,493.38","1,491.00","1,501.50","1,488.95","8.83M","0.50%"
"20-09-2024","1,485.93","1,474.00","1,495.00","1,471.38","30.90M","1.11%"
"19-09-2024","1,469.68","1,466.25","1,476.50","1,455.55","16.96M","0.43%"
"18-09-2024","1,463.45","1,470.00","1,482.00","1,460.55","8.57M","-0.60%"
"17-09-2024","1,472.30","1,474.00","1,477.47","1,466.63","5.94M","0.06%"
"16-09-2024","1,471.35","1,477.55","1,480.90","1,464.75","5.48M","-0.09%"
"13-09-2024","1,472.63","1,476.40","1,483.15","1,469.50","8.71M","-0.48%"
"12-09-2024","1,479.80","1,457.00","1,486.00","1,445.88","22.35M","1.95%"
"11-09-2024","1,451.50","1,463.05","1,468.75","1,447.55","9.76M","-0.69%"
"10-09-2024","1,461.53","1,460.50","1,472.05","1,457.57","10.77M","-0.06%"
"09-09-2024","1,462.45","1,466.50","1,469.93","1,455.60","9.01M","-0.16%"
"06-09-2024","1,464.82","1,492.50","1,497.00","1,461.63","19.39M","-1.89%"
"05-09-2024","1,492.97","1,519.05","1,525.78","1,487.05","16.26M","-1.42%"
"04-09-2024","1,514.55","1,500.70","1,517.50","1,499.50","11.98M","0.36%"
"03-09-2024","1,509.13","1,521.25","1,523.00","1,507.50","10.92M","-0.47%"
"02-09-2024","1,516.25","1,510.88","1,526.80","1,506.63","11.24M","0.44%"
"30-08-2024","1,509.63","1,534.00","1,539.72","1,503.32","41.62M","-0.74%"
"29-08-2024","1,520.93","1,503.10","1,537.00","1,494.00","38.34M","1.51%"
"28-08-2024","1,498.30","1,505.00","1,507.47","1,493.00","9.61M","-0.14%"
"27-08-2024","1,500.45","1,510.50","1,513.47","1,499.45","6.25M","-0.80%"
