"Date","Price","Open","High","Low","Vol.","Change %"
"09-01-2025","4,038.85","4,101.00","4,137.75","4,025.30","2.39M","-1.69%"
"08-01-2025","4,108.40","4,034.90","4,126.00","4,017.75","2.18M","1.99%"
"07-01-2025","4,028.30","4,114.95","4,140.35","4,011.55","2.67M","-1.63%"
"06-01-2025","4,095.00","4,105.50","4,149.65","4,066.40","2.09M","-0.12%"
"03-01-2025","4,099.90","4,179.95","4,179.95","4,092.30","1.79M","-1.82%"
"02-01-2025","4,175.75","4,120.00","4,183.00","4,096.95","1.72M","1.54%"
"01-01-2025","4,112.45","4,094.40","4,134.00","4,085.45","763.16K","0.43%"
"31-12-2024","4,094.80","4,135.00","4,139.95","4,032.05","1.56M","-1.54%"
"30-12-2024","4,158.80","4,151.00","4,199.30","4,112.00","1.53M","-0.15%"
"27-12-2024","4,164.85","4,163.00","4,180.95","4,147.25","858.10K","-0.10%"
"26-12-2024","4,169.10","4,179.50","4,199.95","4,143.15","1.21M","-0.25%"
"24-12-2024","4,179.50","4,158.30","4,218.00","4,158.30","1.18M","0.51%"
"23-12-2024","4,158.30","4,200.05","4,217.00","4,114.90","2.20M","-0.29%"
"20-12-2024","4,170.30","4,329.00","4,382.00","4,152.50","4.12M","-2.38%"
"19-12-2024","4,271.90","4,282.00","4,364.00","4,262.00","3.02M","-1.75%"
"18-12-2024","4,347.85","4,311.70","4,362.00","4,289.60","1.58M","0.45%"
"17-12-2024","4,328.50","4,410.00","4,432.95","4,318.00","3.23M","-1.96%"
"16-12-2024","4,415.20","4,459.00","4,475.00","4,397.00","1.65M","-1.31%"
"13-12-2024","4,473.90","4,434.95","4,494.90","4,394.40","1.97M","0.43%"
"12-12-2024","4,454.95","4,430.05","4,485.00","4,426.00","1.91M","0.62%"
"11-12-2024","4,427.45","4,431.85","4,448.65","4,407.00","1.64M","-0.12%"
"10-12-2024","4,432.55","4,426.15","4,493.80","4,412.10","2.09M","-0.44%"
"09-12-2024","4,452.15","4,430.45","4,469.40","4,415.55","2.07M","0.15%"
"06-12-2024","4,445.50","4,453.00","4,465.00","4,412.75","1.84M","-0.42%"
"05-12-2024","4,464.05","4,400.80","4,489.00","4,360.00","3.75M","2.52%"
"04-12-2024","4,354.40","4,313.55","4,386.95","4,289.05","3.30M","1.20%"
"03-12-2024","4,302.75","4,314.35","4,325.00","4,265.45","2.01M","0.61%"
"02-12-2024","4,276.65","4,270.00","4,288.20","4,230.05","1.67M","0.14%"
"29-11-2024","4,270.85","4,220.00","4,298.70","4,195.65","2.02M","0.61%"
"28-11-2024","4,244.90","4,319.00","4,339.95","4,233.00","2.56M","-2.02%"
"27-11-2024","4,332.55","4,358.95","4,377.40","4,324.05","1.56M","-0.46%"
"26-11-2024","4,352.70","4,321.05","4,366.60","4,310.00","2.06M","0.87%"
"25-11-2024","4,315.10","4,280.00","4,328.10","4,252.20","4.05M","1.66%"
"22-11-2024","4,244.60","4,071.00","4,254.95","4,054.00","3.10M","4.22%"
"21-11-2024","4,072.85","4,044.90","4,092.45","4,024.00","2.38M","0.82%"
"19-11-2024","4,039.55","4,019.90","4,132.15","4,014.10","1.78M","0.50%"
"18-11-2024","4,019.50","4,213.00","4,213.00","3,990.20","3.31M","-3.05%"
"14-11-2024","4,145.90","4,135.00","4,160.00","4,116.45","1.83M","-0.11%"
"13-11-2024","4,150.35","4,178.10","4,196.75","4,131.05","1.10M","-1.12%"
"12-11-2024","4,197.40","4,216.00","4,218.00","4,164.35","1.59M","-0.03%"
"11-11-2024","4,198.70","4,128.20","4,234.30","4,117.65","1.41M","1.25%"
"08-11-2024","4,147.00","4,155.00","4,169.75","4,117.65","1.65M","-0.09%"
"07-11-2024","4,150.90","4,169.70","4,205.80","4,085.05","3.72M","0.27%"
"06-11-2024","4,139.65","4,003.60","4,149.80","3,975.25","3.79M","4.24%"
"05-11-2024","3,971.35","3,941.10","3,986.00","3,941.10","967.59K","0.18%"
